[Звук]	[Хороший-плохой][Большой-маленький]	[Нежный-грубый]	[Женственный-мужественный]	[Светлый-тёмный][Активный-пассивный]	[Простой-сложный]	[Сильный-слабый][Горячий-холодный]	[Быстрый-медленный]	[Красивый-отталкивающий][Гладкий-шероховатый]	[Легкий-тяжелый][Веселый-грустный]	[Безопасный-страшный]	[Величественный-низменный]	[Яркий-тусклый]	[Округлый-угловатый]	[Радостный-печальный]	[Громкий-тихий]	[Длинный-короткий]	[Храбрый-трусливый]	[Добрый-злой]	[Могучий-хилый]	[Подвижный-медлительный][Частотность]
я	1.8		2.1			2.7		3.6				1.9		2.6			1.8			1.7		3.0			3.2			1.9			2.2			2.1		2.5			2.1			2.1				1.6		2.0			1.8			2.2		3.0			1.6			2.4		2.0		3.0			0.013
я\	1.8		2.1			2.7		3.6				1.9		2.6			1.8			1.7		3.0			3.2			1.9			2.2			2.1		2.5			2.1			2.1				1.6		2.0			1.8			2.2		3.0			1.6			2.4		2.0		3.0			0.011
н'	2.9		3.2			2.0		2.3				2.8		3.2			3.4			3.4		2.3			3.4			2.4			2.8			2.6		3.0			2.2			3.2				3.0		3.0			2.8			2.9		3.8			3.4			2.1		3.6		3.2			0.024
п	3.5		3.4			3.4		3.6				4.0		3.4			2.8			4.0		3.0			1.9			3.5			4.0			3.0		3.9			3.8			3.6				4.1		3.8			3.7			4.5		4.4			3.7			3.3		3.5		2.7			0.020
ф	4.0		2.8			3.5		3.3				4.0		4.1			3.3			3.6		3.2			3.4			3.9			4.1			3.7		3.8			4.4			3.4				4.4		3.6			4.3			4.7		3.8			3.5			3.8		3.8		3.9			0.002
н	2.4		2.1			3.6		4.0				3.1		2.8			2.6			2.4		3.4			3.9			2.6			2.8			3.6		3.1			2.8			2.3				2.7		3.1			2.9			2.6		3.3			2.7			3.4		2.4		3.3			0.040
д	2.4		2.0			4.4		4.5				3.2		2.4			2.6			1.9		3.6			2.4			2.4			3.4			3.3		2.9			2.8			2.4				2.1		3.5			2.5			2.3		3.5			2.0			3.1		2.2		2.2			0.020
л'	1.8		3.7			2.0		1.8				2.0		2.8			3.4			3.4		2.7			3.0			1.9			2.2			2.7		2.1			1.7			3.0				2.3		2.1			2.1			2.9		3.3			2.8			1.9		3.6		3.4			0.017
ы	3.6		1.7			3.8		3.8				3.8		4.0			3.1			2.5		4.0			4.4			3.7			2.5			3.5		3.7			3.5			3.1				3.6		2.9			3.6			2.4		2.2			2.8			2.7		2.5		3.9			0.010
ы\	3.6		1.7			3.8		3.8				3.8		4.0			3.1			2.5		4.0			4.4			3.7			2.5			3.5		3.7			3.5			3.1				3.6		2.9			3.6			2.4		2.2			2.8			2.7		2.5		3.9			0.006
